,Tweet Posted Time (UTC),Tweet Content,Tweet Location
0,2020-04-03,To get away from this killer COVID-19 (Corona virus)  the national wide lockdown need to be extended for a month.,Arunachal Pradesh
1,2020-04-03,You have Family Fast Internet  Electricity Foods Books!whats stopping you being quarantised?huh. I choosed netflix for my Quarantine! whats yours? Suggest me some good Series @NetflixJapan @NetflixIndia @cherbarnacha #StayHomeIndia #IndiaFightsCorona ,Arunachal Pradesh
2,2020-04-03,Due to Corona Virus COVID-19 &amp; and fully shutdown the country Shiksha Vatika Start Online Registration and Admission for the session 2020-21  click the link https://www.shikshavatika.org,Bihar
3,2020-04-03,Uresian people making big conspiracy. Behind Corona virus #ModijiDontMakeUsFoolAgain,Bihar
4,2020-04-03,@PMOIndia @NitishKumar sir all political leders who have any post in goverment or who have taken salary why not left their salary for corona virus http://fight.so do some thing for this who have use all facilities of govt.,Bihar
5,2020-04-03,The South China Morning Post reporting about COVID _19 status in China challenges the official stats giving the number of deaths from Coronavirus there .Quoting a truck driver The Post reports about 5000 urns were delivered to a single funeral home over two days last week .,Bihar
6,2020-04-03,I request all students to light a candle/diya/torch of their mobiles for 9 minutes only at 9 p.m. on 5/4/2020 to realise the power of light & highlight the objective for which we all are fighting together against coronavirus.However no one should assemble outside of their houses. ,Bihar
7,2020-04-03,AIIMS doctor tests positive for CoronaVirus. His wife is pregnant and deputed at emergency ward  would also be screened #DocsNeedGear,Bihar
8,2020-04-03,Hospitals are firing Docs and nurses for speaking out on media about conditions they face fighting the coronavirus. That’s because these hospitals don’t want people to know the truth—that cost savings and profits matter more than human lives in corporate medicine. #DocsNeedGear,Bihar
9,2020-04-03,There is a feeling of fear among doctors across India as the nation digs in hang tight for what many accept will be a tsunami wave of coronavirus cases. Govt must provide them proper PPEs. #DocsNeesGear,Bihar
10,2020-04-03,Shortages of protective health gear in India are forcing some doctors to use raincoats and motorbike helmets while fighting the coronavirus  exposing the weak state of the public health system ahead of an anticipated surge in COVID-19 cases. - Reuters #DocsNeedGear,Bihar
11,2020-04-03,15% healthcare workers who contract #CoronaVirus becomes severely ill. Its 5% for general public. WHO warned about shortage &amp; asked to increase production of personal protection equipment in Feb. Our govt was exporting PPEs &amp; till 18th March. #DocsNeedGear,Bihar
12,2020-04-03,I don't have candle  don't have diya. #besensible #staysafe #ModiVideoMessage #StayHomeStaySafe #COVID19 #coronavirus #Lockdown21 @nildeoreIAS @News18Bihar @JagranNews @DainikBhaskar,Bihar
13,2020-04-03,The scariest news to come out in last few days is the news of our health workers contracting Corona Virus. If they are going to be not provided with protective gear and masks  their vulnerabilities will increase. Demand protective gear for our frontline warriors! #DocsNeedGear,Bihar
14,2020-04-03,They will help in fighting Corona Virus #COVID2019india #CoronaVirus #Modi,Bihar
15,2020-04-03,Asaduddin Owaisi shame shame!Your superficial excuses defending highly irresponsible anti-national mullas only enhance your negative attitude towards nation fighting corona virus.,Bihar
16,2020-04-03,You right speech for safe corona virus  thank you Sir,Bihar
17,2020-04-03,I recommend Aarogya Setu app to fight against COVID19. Please download and share it using this link Android : https://play.google.com/store/apps/details?id=nic.goi.aarogyasetu iOS :,Bihar
18,2020-04-03,I recommend Aarogya Setu app to fight against COVID19. Please download and share it using this link Android : https://play.google.com/store/apps/details?id=nic.goi.aarogyasetu iOS : itms-apps://itunes.apple.com/app/id1505825357,Bihar
