,Tweet Posted Time (UTC),Tweet Content,Tweet Location
0,2020-03-27,Over the last 24 hours I have developed mild symptoms and tested positive for coronavirus. I am now self-isolating  but I will continue to lead the government’s response via video-conference as we fight this virus. - Boris Johnson -- @narendramodi,Bihar
1,2020-03-27,Even UK PM Boris Johnson tested positive for the coronavirus. My request to you  please stay at home  maintain social distancing  help the poor &amp; migrant workers in your area. Keep calm and trust our beloved Honourable PM @narendramodi Ji. #CoronaLockdown #IndiaFightsCorona,Bihar
2,2020-03-27,Tweet Mein Glati Hai @anupamnawada Bhai  Because You Clearly Mentioned in Your Tweet That @msdhoni Donated 1-Lakh To Fight Against #coronavirus . Request You To Please Don't Spread Flase News About a Great Hearted Man.,Bihar
3,2020-03-27,The UK coronavirus lockdown will last for up to 6 months and be policed with on-the-spot fines https://www.businessinsider.in/politics/news/the-uk-coronavirus-lockdown-will-last-for-up-to-6-months-and-be-policed-with-on-the-spot-fines/articleshow/74790272.cms?utm_source=social_Twitter&amp;utm_medium=social_sharing&amp;utm_campaign=Click_through_social_share via @BiIndia,Bihar
4,2020-03-27,Maharashtra  Haryana govt 11000 and Tihar jail authorities to release 3 000 inmates amidst coronavirus outbreak It's tough time for India we need more Dr on duty. @myogiadityanath plz immidiate release @drkafeelkhan He is well experienced practitioner @DrRebellious,Bihar
5,2020-03-27,To stay safe during #COVID19 outbreak  here are tips for people affected by NCDs: Take your medicine &amp; follow medical advice Secure 1 month+ supply of medication Keep distance from sick people Wash often or quit drinking Protect mental health #coronavirus,Bihar
6,2020-03-27,For 2 weeks  #China reports new #coronavirus cases infected locally as zero or single digits. Health authority says 1 such case in Zhejiang  54 cases traveled from abroad. http://www.nhc.gov.cn/xcs/yqfkdt/202003/c521093a01734df3b3fbc156064ba19f.shtml (Concerns high of 2nd wave from overseas &amp; if asymptomatic cases properly reported.),Bihar
7,2020-03-27,Time pass #lockdown #coronavirus @cricketaakash @msdhoni @me_dishu @nlgu8xBiJZWhYrV @Dilkhush_k_jha,Bihar
8,2020-03-27,Number of confirmed cases of coronavirus reached 500 000 worldwide. #ChineseVirus19 Pandemic From 0 to 250 000 cases: 4 months From 250 000 to 500 000 cases: 1 week,Bihar
9,2020-03-27,Hello we are an engineering student we have been discharged in collage due to corona virus but we will deffinetly incur fee in collage now the son of a farmer but your depend – at Dalsingh sarai Railway Station,Bihar
10,2020-03-27,Only if our central leadership had the same guts and wisdom  this lady has  the Covid19 would have been history now. First  they fed on gau Mutra and then taali and thali. https://youtu.be/yd9XgnEfIIA,Bihar
11,2020-03-27,Now this is much appreciated initiave....Respected DM is requesting help from volunteering organisation in fight against COVID19... That's great.. #StayHomeIndia,Bihar
12,2020-03-27,To stay safe during #COVID19 outbreak  here are tips for people affected by NCDs: Take your medicine &amp; follow medical advice Secure 1 month+ supply of medication Keep distance from sick people Wash often or quit drinking Protect mental health #coronavirus,Bihar
13,2020-03-27,China's arrogance made them prepared to destroy the world. Now before buying any Chinese product try to think about your own nation.Because we were much dependant on China and their this arrogance created the pandemic #XijinpingVirus #ChineseVirus19 #BoycottChina #COVID19 ,Bihar
14,2020-03-27,UK's top leadership is now in quarantine as the country battles the virus. #ChineseVirus #IndiaFightsCorona #StayAtHomeSaveLives,Bihar
15,2020-03-27,Once again a cute message from young boy. Pls listen to him carefully and #StayHome. #COVID2019 #Lockdown21 #IndiaFightsCorona ,Bihar
16,2020-03-27,Even UK PM Boris Johnson tested positive for the coronavirus. My request to you  please stay at home  maintain social distancing  help the poor & migrant workers in your area. Keep calm and trust our beloved Honourable PM @narendramodi Ji. #CoronaLockdown #IndiaFightsCorona ,Bihar
17,2020-03-27,Twitter should now give a laughing emoji icon too to react.. #taimur on potty so can't give flying kiss to times now viewers.. #timesnow @TimesNow #IndiaFightsCorona #ChineseVirus19 #CoronaVillains,Bihar
18,2020-03-27,We have to learn from those countries who is suffering today due to their immature behaviour. #IndiaFightsCorona ,Bihar
19,2020-03-27,#Ramayan #Satsang_Se_Amazing Advantage Hear the cure of incurable diseases in the satsang of the full Guru. While the corona virus has no cure till now  through satsang of Saint Rampal Ji Maharaj  you will get a solid treatment of this epidemic. ,Chhattisgarh
20,2020-03-27,Share with ur squad Mitron . . . . #quarantine #Binamilesathlade #coronavirus #fightagainstcorona #covid_19 #rjarjun #india,Chhattisgarh
21,2020-03-27,@NihaMasih Can you pls answer this? How corona virus spread in the world but not in Beijing and shanghai? How Italy people didn't get cured like wuang? How Chinese president is roaming in the mid of corona infected and having no effect on it?,Chhattisgarh
22,2020-03-27,@IndianOilcl @Raipur_DO_IOCL will ensure uninterrupted supply of Petrol  Diesel &amp; LPG in the State of #Chhattishgarh @ChhattisgarhCMO #HarEkKaamDeshKeNaam #coronavirus #Coronaindia @ioclmp @MPSO_RETAIL @VSatishIOCL @VigyanKumar @PetroleumMin @DirMktg_iocl,Chhattisgarh
23,2020-03-27,"Day 6: ""What seems like IMPOSSIBLE today  will become your WARMUP tomorrow"" और जब trainer पापा हों तो मज़ा और ज्यादा..!! #SocialDistancing #Covid19 #Coronavirus #CGLockDown #coronawarriors #StayHomeStaySafe #StayHomeSaveLives #21daylockdown #StayHomeIndia #connectedraipur",Chhattisgarh
24,2020-03-27,Villagers of Dantewada  a tribal-dominated district of Chhattisgarh  have set up a precautionary barrier to prevent the growing infection of the #Covid19 the roads has been closed so that people outside other states and villages cannot enter inside the village. ,Chhattisgarh
25,2020-03-27,Pls implement it in every states & also we need to be vigilent. strict surveillance 4 all diseased animals & all precautionary measures should be maintained while feeding them. In order 2 keep all such animals too in isolation . it'll help in prevention of COVI19 spread #COVID19,Chhattisgarh
26,2020-03-27,@narendramodi A big NO to request for shifting men to village. Corona virus was flying and now moving mostly in motor vehicles. That way corona will start walking on the whole India  weeping mostly poor villagers. India must enforce lockdown.,Goa
27,2020-03-27,Got an email from my health insurance provider telling me that in a few days I won’t be insured for coronavirus-related treatment. The email is signed off with the phrase  ‘Stay safe  we’re all in this together’  followed by a heart emoji.,Goa
28,2020-03-27,Corona virus means #ChineseVirus19   right?,Goa
29,2020-03-27,Coronavirus pandemic | 400 million Indians to be infected by July  report suggests start of community transmission @moneycontrolcom https://www.moneycontrol.com/news/india/coronavirus-pandemic-400-million-indians-to-be-infected-by-july-report-suggests-start-of-community-transmission-5079281.html @goacm  @PMOIndia  @DrPramodPSawant,Goa
30,2020-03-27,GOA After yesterday’s decision of CM to keep shops open  people across the state busy buying stuff with free corona virus for family  lockdown was need of hour @PMOIndia @narendramodi @goacm @visrane @drharshvardhan,Goa
31,2020-03-27,Need of Total Shut-down of pharmaceutical Company till Lockdown process_Corona Virus issue @narendramodi @goacm @PMOIndia @DrPramodPSawant @visrane,Goa
32,2020-03-27,CHINA is asking everone not to call the Corona Virus as CHINESE virus.I request everyone not to call it as CHINESE virus as CHINA is not liking it. As per them CHINESE virus did not come from CHINA hence dont call it as CHINESE virus.#ChineseVirus19 #bioweapon #BoycottChina .RT.,Goa
33,2020-03-27,We're all in this war against the virus together and we will overcome these bad times very soon. My thoughts and prayers go out to everyone affected by this virus. #coronavirus #coronavirusindia #CoronavirusLockdown,Goa
34,2020-03-27,Watching the news these days and it's just terrible to see all that's going on. Stay safe! #coronavirus #CoronavirusLockdown #coronavirusindia #CoronavirusOutbreak,Goa
35,2020-03-27,My thoughts and prayers go out to everyone affected by this virus. Stay safe! #coronavirus #coronavirusindia #CoronavirusLockdown,Goa
36,2020-03-27,For the record we have launched more Apps than #COVID19 patients. Brilliant! @visrane #Goa,Goa
37,2020-03-27,@DrPramodPSawant our traditional Goan Poders have been doing home delivery on Goan bread since ages. If they are given chance continue their tradition home deliver the bread  every Goan will the most happy person in this time. #GoaPoder #wakenbake #covid19 @visrane,Goa
38,2020-03-27,BRIGHT HOUSE deserves that. #Covid19,Goa
39,2020-03-27,We have to test producing ventilator consumables and spares locally before it actually hits us. 3D printing @carl_de_souza  or custom moulded parts @blaisezm. @visrane @PurtiKathpalia_ @MoHFW_INDIA #3Dprinted #ventilators #IndiaFightsCorona #covid19 ,Goa
40,2020-03-27,The Team Goa continues to fight the COVID19. Efforts on to sanitize the Airport Terminal and its assets for safety of all. Regular cleaning with Lysol 2%  Fumigation and fogging on. WE SHALL NOT STEP BACK. @AAI_Official @MoCA_GoI @Covid_19newsIND @MoHFW_INDIA @DGCAIndia @visrane – at Dabolim Goa International Airport (GOI),Goa
41,2020-03-27,Stop blaming #COVID19 ! It’s been the same situation for months now,Goa
