,Tweet Posted Time (UTC),Tweet Content,Tweet Location
0,2020-03-28,Juss a little Donation For @narendramodi ji for #PMCARES to Fight Corona Virus – at Samastipur,Bihar
1,2020-03-28,"Respected Prime minister corona virus to abhi aaya hai lekin hmare gao me Jo patient pahle se ""high BP  heart ya phir kidney ke patient hai"" wo kahan jaye kyuki private hospitals closed hai or doctors bhi ilaaz karne se inkaar kar rhe ispar vichar vimarsh kare @narendramodi",Bihar
2,2020-03-28,Contributions to fight against Corona Virus (COVID - 19) @narendramodi @PMOIndia,Bihar
3,2020-03-28,I just did my part in the war against coronavirus. Join me  in supporting those who need a helping hand at this critical hour. ,Bihar
4,2020-03-28,Ratan Tata's Tata Trusts has committed Rs 500 Crore to fight coronavirus ,Bihar
5,2020-03-28,Can u help me regarding my brother's medicine.Due to corona virus I m unable to purchase medicine for my brother who is suffering from mental disease. My contact no-9097826370 ,Bihar
6,2020-03-28,Stepping up efforts to fight Coronavirus  Railways has converted a train coach into an isolation ward. Take a look at a prototype of an isolation ward  ready with medical facilities  in Kamakhya in Assam  with each coach having a capacity of serving 9 patients. #CoronaUpdate,Bihar
7,2020-03-28,@NitishKumar @SushilModi @DGPBihar @yadavtejashwi Corona virus is spreading in Bihar due to migrants from metro cities. Govt should held them outside the villages as villagers are not following safety norms and hence it's spreading fastly.,Bihar
8,2020-03-28,The #coronavirus is China's biological Weapons  Which is the fruit of its ambitious tree. #CoronaVirusChallenge,Bihar
9,2020-03-28,Here  What companies and business leaders are doing !! #Coronavirus stay Home !! ,Bihar
10,2020-03-28,With proactive action from @nildeoreIAS   madhubani district is in safe hand. We will win the battle against #COVID19 . All are requested to help the administration by staying at home . ,Bihar
11,2020-03-28,#Heros Pharmacist are working day and night all over work in making medicines to fight against COVID19 virus even all sorts of diseases are mostly treated by Medicines only. Ultimately no one can ignore the role of Pharmacists.,Bihar
12,2020-03-28,Post Pandemic  The Definition of #Covid19-The Cause of #Complete_Transformation in India!! @udaykotak @anandmahindra @RNTata2000 @SharmaShradha @drriteshmalik @vijayshekhar,Bihar
13,2020-03-28,Loved this #AmazinglyAmaging perspective of looking at Adverse Situations!! I look at #Covid19 as The #Cause_Of_Transformations upcoming in some of consecutive years!!,Bihar
14,2020-03-28,Concept ( Trace  Test  Treat and Then Release ) to curb corona19 or future transmission of COVID19 We need to break chain... One by one... @NitishKumar @IPRD_Bihar @bihar_police @rsprasad @MoHFW_INDIA @narendramodi Regards,Bihar
15,2020-03-28,Y all are not using #AirForce and all for transporting food and medicine and all U shuld know that we are not in the emergency we are in the #War with most powerful enemy if the world that is #Covid19  So plz don't take it lightly. @PMOIndia @HMOIndia @PTI_News @rajnathsingh @UN,Bihar
16,2020-03-28,Y all are not using #AirForce and all for transporting food and medicine and all U shuld know that we are not in the emergency we are in the #War with most powerful enemy of the world that is #Covid19  So plz don't take it lightly. @PMOIndia @HMOIndia @PTI_News @rajnathsingh @UN,Bihar
17,2020-03-28,Request you and our volunteers in WB to not move outside for carrying out social activities in pandemic time  considering impact of COVID19 it's highly infectious  So it's advisable to work from home  Never step out.Staying at home is best social service in current situation Thx,Bihar
18,2020-03-28,"@WHO ""Thank you for your efforts to work with us to protect the health systems  #healthworkers and members of the general public who rely on our information systems and digital tools""-@DrTedros #COVID19 #coronaviru http://www.who.int/COVID-19@narendramodi.",Bihar
19,2020-03-28,I'm student from Sheikhpura Bihar.Have donated a little to help to #IndiaFightsCorona from #PMCARES @narendramodi,Bihar
20,2020-03-28,I'm student from Sheikhpura Bihar.Have donated a little to help to #IndiaFightsCorona from #PMCARES @narendramodi @PMOIndia @akshaykumar,Bihar
21,2020-03-28,I'm student from Sheikhpura Bihar.Have donated a little to help to #IndiaFightsCorona from #pmcares @narendramodi,Bihar
22,2020-03-28,There’s nothing big or little. Every single contribution matters. It shows our collective resolve to defeat COVID-19. #IndiaFightsCorona I have done your turn. please help us @narendramodi @vijayshekhar @Paytm @PMOIndia @PhonePe_ #PMCaresFund #NarendraModi #FightAgainstCOVID19,Bihar
23,2020-03-28,Being a student  did my small bit for supporting your move towards helping the nation tackle the current situation due to corona #PMCaresFund #pmcares @narendramodi #IndiaFightsCorona ,Bihar
24,2020-03-28,Just a little contribution from our Family.. #PMCaresFund #IndiaFightsCorona @PMOIndia @narendramodi #FightAgainstCOVID19 #Bihar,Bihar
25,2020-03-28,I'm student from Sheikhpura Bihar.Have donated a little to help to #IndiaFightsCorona from #PMCARES @narendramodi @PMOIndia @HMOIndia @myogiadityanath @nsitharaman @nsitharamanoffc @chitraaum @Nyksindia @KirenRijiju @DrKumarVishwas @KapilMishra_IND @RubikaLiyaquat @sardanarohit,Bihar
26,2020-03-28,#PMReliefFund: PM @narendramodi sir ji  as a student I've capacity to donate only this much amount. I hope a small contribution can bring a smile our Indian country people #PMCARES #IndiaFightsCorona #Corona_Warriors #PMOfIndia,Bihar
27,2020-03-28,Every MP of Loksabha and Rajyasabha must donate their One month salary and atleast 25Lakh from their MP Fund. @naqvimukhtar @ombirlakota @MVenkaiahNaidu @narendramodi @RahulGandhi @BJP4India @INCIndia @MamataOfficial @ArvindKejriwal #coronavirusindia #IndiaFightsCorona,Bihar
28,2020-03-28,What kind of promotional activities going on somebody is pledging n u r appreciating... We r definitely going to overcome this at any how but what's important is do we learn n ready for such catastrophic events in future COVID19 is recessive variant &amp; dominants r still waiting..,Chhattisgarh
29,2020-03-28,Some imp information about #COVID19 #COVID2019india @RaipurPoliceCG @RaipurSmartCity Via: natgeoindia  Instagram,Chhattisgarh
30,2020-03-28,Some imp information about #COVID19 #COVID2019india @RaipurPoliceCG @RaipurSmartCity Via: natgeoindia  Instagram,Chhattisgarh
31,2020-03-28,If COVID19 +VE cases rapidly increases in UP Within 1week then believe me @ArvindKejriwal has played an important role in this @narendramodi @MoHFW_INDIA @MinistryWCD @moayush @rashtrapatibhvn @PMOIndia @ICMRDELHI @icmr_nie @WHO #COVID19 #Covid_19 #COVID19outbreak @AamAadmiParty,Chhattisgarh
32,2020-03-28,The Hitavada- People Made Awear About COVID-19 Spread the word not virus #covid19 @Nyksindia @YASMinistry @PMOIndia @MSYAGovTT,Chhattisgarh
33,2020-03-28,#DYK: Women make up 70 per cent of health and social sector workers globally. Here are 5 ways to promote #Genderequality during #COVID19 read more on link. https://shar.es/aHvYC1 @jobzachariah @antaraganguli @sidbshrestha @chetnadesai1 @PriyankaJShukla,Chhattisgarh
34,2020-03-28,China has built a hospital to help affected with #coronavirus... It's Pandemic ! Still district hospital at Margao isn't ready for even isolation cases ? @oheraldogoa @goacm,Goa
35,2020-03-28,I'm extremely happy to share my contribution towards @narendramodi Ji's #PMCARES to fight against #COVID19 #StayHomeIndia #coronavirus #100CrorePledge #DonateKaroNaIndia,Goa
36,2020-03-28,@PMOIndia @goacm Few Suggestions &amp; Preventive Measures to Government and General public to fight back Against Corona Virus ,Goa
37,2020-03-28,Goa Police taking action against those who are unnecessarily roaming on the streets while there is #Lockdown21 in the state to stop spread of #CoronaVirus #goa #news @spnorthgoa @goacm #covidindia #covid19,Goa
38,2020-03-28,Please wake up to the reality and seriousness of the situation. Be a responsible citizen. Let's fight this Virus together.. #stayhome #staysafe #SocialDistancingSavesLives #COVID19 #coronavirus #goalockdown – at Aquem,Goa
39,2020-03-28,CRPF Soldiers donate their one day salary to Prime Minister National Relief Fund amid Corona virus crisis. They fight on/off borders &amp; they are first one to contribute for society. They might not be rich as Ambani's but they have a heart of gold #CRPF #coronavirusinindia,Goa
40,2020-03-28,Quarantine effects! #COVID19 #lockdown #covid,Goa
41,2020-03-28,I'm extremely happy to share my contribution towards @narendramodi Ji's #PMCARES to fight against #COVID19 #StayHomeIndia #coronavirus #100CrorePledge #DonateKaroNaIndia,Goa
42,2020-03-28,Goa Police taking action against those who are unnecessarily roaming on the streets while there is #Lockdown21 in the state to stop spread of #CoronaVirus #goa #news @spnorthgoa @goacm #covidindia #covid19 ,Goa
43,2020-03-28,Chief Minister: COVID19 Open the new District Hospital in Margao and usage of funds under MPLAD for Gear - Sign the Petition! http://chng.it/Pytks8Kz via @ChangeOrg_India,Goa
44,2020-03-28,Some police need to be litterate enough to follow lockdown rules #doctors #COVID19 ,Goa
45,2020-03-28,Humanity counts #COVID19 #covid19india,Goa
46,2020-03-28,#CUNCOLIMSUPPORTGROUP have initiated as one Cuncolkars. With Cuncolim Municipal Council C.O  Councillors  MLA Clafacio Dias have given #COVID19 safety instructions by Dr Jorson Fernandes to entire Garbage Collection workers. All necessary safety measure will be taken by CMC.,Goa
47,2020-03-28,Please wake up to the reality and seriousness of the situation. Be a responsible citizen. Let's fight this Virus together.. #stayhome #staysafe #SocialDistancingSavesLives #COVID19 #coronavirus #goalockdown – at Aquem,Goa
48,2020-03-28,Being stuck in #India during a national lockdown has shown me why #Canada is the envy of the world. @JustinTrudeau  @fordnation and @JohnTory have stepped up during the #Covid19 crisis. While leaders here resort to police brutality instead of communicating with the people.,Goa
49,2020-03-28,Got conjunctivitis? Tummy pain? And hesitant to visit the doctor? No worries as healthcare now comes to your doorstep with CallDoc App. The is the best initiative by Health Department. App is Available to download on #GooglePlay &amp; #AppStore #goa #news #Lockdown21 #Covid19 ,Goa
50,2020-03-28,I wish DT was isolated. It would allow the US to get back on its feet and help the Covid19 people. He is a disaster.,Goa
51,2020-03-28,Testing for #COVID19 is essential  let us ask the govt to start with mass testing and sanitisation so that we can minimise the spread of #coronavirusindia and save millions of lives. #TESTVIRUSNOW @RahulGandhi @priyankagandhi @srivatsayb @GauravPandhi @HasibaAmin @digambarkamat,Goa
52,2020-03-28,Even Andaman &Nicobar not spared by #COVID19 ... #StaySafe,Goa
53,2020-03-28,#IndiaFightsCorona Persons with disabilities are more vulnerable to COVID-19 due to their physical  sensory and cognitive limitations. The Modi Govt has facilitated access to essential food  water  medicine at their residence or place of quarantine. via NaMo App,Goa
54,2020-03-28,@TajMahalMumbai @TajHotels Commendable job !!!! We are so proud of you @TajHotels @narendramodi @PMOIndia #IndiaFightsCorona ,Goa
55,2020-03-28,Disgusting! Are CHURAIL nahi dekhna hai to mat dekho na. Please ignore it the way majority of us ignored your flop show F. I.R. Can't understand what pleasure do queans like you get by hurting our religious sentiments. #Ramayan #DDNational #DDBharati #IndiaFightsCorona ,Goa
56,2020-03-28,My family has been using the Home Delivery options since the Janta Curfew. I urge others to avoid going out of their homes until situation optimises.@goacm #Goa #IndiaFightsCorona,Goa
57,2020-03-28,#IndiaFightsCorona Is there any drug to silence the wide-mouthed creatures for weeks during a human crisis like this simillar to controlled anesthesia during surgical procedure!,Goa
58,2020-03-28,@spnorthgoa police is doing an outstanding job in calangute area  only request is to please advise them to be a little polite  just saw one of of them was very rude to a woman  thank you so much for the outstanding effort. @BJP4Goa @goacm #IndiaFightsCorona #Covid19India,Goa
