,Tweet Posted Time (UTC),Tweet Content,Tweet Location
0,2020-04-07,Fight with corona virus ,Bihar
1,2020-04-07,Muslims Spitting on Food  Hiding in Mosques to Spread Coronavirus? Beware of These 8 Fake News Stories ,Bihar
2,2020-04-07,By-By salute to Corona Virus Go-Back.Good Morning Jai-Hind Great Warriors #IndianArmy #IndianMiletary @IndianArmyNewsH @IndianArmy007 @Voice_4_India @Ksingh561 @rahul124816 @DRKUMAR25 @vinaykasthan @apna_viki @iAneeka @vinirish @krishnashashi1 @BeenaPP1 @barkhatrehan16 @crazy_sou,Bihar
3,2020-04-07,MaskIndia campaign ! Join this movement to help India battle coronavirus. Share a picture with your home-made mask using #MaskIndia @flyspicejet @AjaySingh_SG @timesofindia get an opportunity to be featured in @timesofindia newspaper.,Bihar
4,2020-04-07,This is an initiative that can help the help the poor during any crisis  not just coronavirus outbreak. Well done I-PAC! #SabkiRasoi,Bihar
5,2020-04-07,Wisdom is not about education. Responsibility has nothing to do with status or affluence. This is a photo from a tribal village in interior odisha. It is time for introspection. #सबसे_पहले_देश #lockdowneffect #COVID19 #Social_Distancing,Bihar
6,2020-04-07,@IYC National Secretary @mitendradsingh felicitated sanitation workers in Gwalior  MP who have been working tirelessly to fight the #COVID19 pandemic. IYC honours all heroes on the frontlines for their bravery  courage &amp; resolve. @SevadalMP #HumeGarvHai,Bihar
7,2020-04-07,Jago India jago. Use this app. recommend Aarogya Setu app to fight against COVID19. Please download and share it using this link Android : https://play.google.com/store/apps/details?id=nic.goi.aarogyasetu iOS :,Bihar
8,2020-04-07,Work from Home! #COVID19 #Covid19India #StayHome #lockdowneffect #WorldHealthDay #GodMorningTuesday,Bihar
9,2020-04-07,@narendramodi @JagranNews @AmitShah @PMOIndia @HMOIndia @ANI @MoHFW_INDIA @NitishKumar @myogiadityanath Is this news True. Dainik Jagran news 07/04/2020 #ChineseVirus19 #BiharFightsCorona #COVID19 #coronaupdatesindia #AmitShah,Bihar
10,2020-04-07,Sir  I request you to give us the number of Salem Wallah or Twitter I'd like to tell you that they are very troublesome to the people.,Bihar
11,2020-04-07,Ab ye silent carrier wala Chu**yapa aagaya. Now it becomes mandatory to wear masks. Even i can be COVID19 positive &amp; even u can also. Symptoms may not be seen but virus can spread from one to another. So be more cautious from now onwards.,Chhattisgarh
12,2020-04-07,When the world is fighting the battle against this Panedamic #COVID19 Our @adgpi is fighting battle for us Their courage and sacrifice will not be forgotten #Salute to Matyred,Chhattisgarh
13,2020-04-07,I believe that the greatest gift we can give to our family and the world is health because #HealthIsWealth and this #Covid19 pandemic has given us opportunity to realise that. #Stayhome and show solidarity with health workers. Happy World Health Day #WorldHealthDay2020,Chhattisgarh
14,2020-04-07,A viral disease unknown in past》Long winter helping it spread fast》Unusually wet summer delaying its slowdown》Forcing mankind into a historic lockdown》In lockdown we see clear blue sky with wilderbeast wandering where urban chaos would lie #NatureIsTeachingALesson #COVID19,Chhattisgarh
15,2020-04-07,"#UnitedAgainstCorona #StayAtHome #घरमेंरहेंस्वस्थरहें #घरपररहें #lockdowneffect #SocialDistancingNow #StayHomeIndia #LifeLessons #familytime #IndiaFightsCorona #cgcovidwarriors #WarAgainstCorona #TogetherWeCan #ChhattisgarhFightsCorona “Overall  the spirits are high """,Chhattisgarh
16,2020-04-07,On this #WorldHealthDay   I salute all the #Doctors &amp; #HealthWorkers who are fighting the battle of #Covid_19 like soldiers on the frontline. The nation is proud of you &amp; indebted to you all! #IndiaFightsCorona,Chhattisgarh
17,2020-04-07,Let's become the first State in the country to completely eradicate #coronavirus with determined &amp; a well-executed action plan says #Porvorim MLA @RohanKhaunte #Lockdown21 #Covid19 #GoaFightsCOVID19 (3/3),Goa
18,2020-04-07,Isn't do one thing! Today make you corona virus pasta without corona virus sauce! Onely pink sauce complicated And ending Hund virus peeda! First try your self this dishes On later Saw something about this!!!!!!!,Goa
19,2020-04-07,Mr  @THANIMAI_TWEET you don't know it's only can controble This corona virus One and only universe God Matta ! Mahaa Kali! ,Goa
20,2020-04-07,After Corona Virus we will inhabit a different world. We need global plan of action in many areas. We have to work on Global solidarity. #PMOfIndia #goa,Goa
21,2020-04-07,7days to go #lockdown #COVID19,Goa
22,2020-04-07,I recommend Aarogya Setu app to fight against COVID19. Please download and share it using this link Android : https://play.google.com/store/apps/details?id=nic.goi.aarogyasetu iOS : https://apps.apple.com/in/app/aarogyasetu/id1505825357 #AarogyaSetuApp #IndiaFightsCorona,Goa
23,2020-04-07,Let's become the first State in the country to completely eradicate #coronavirus with determined &amp; a well-executed action plan says #Porvorim MLA @RohanKhaunte #Lockdown21 #Covid19 #GoaFightsCOVID19 (3/3),Goa
24,2020-04-07,@visrane will be live at 5:30PM today to answer all your queries on #COVID19 #GoaFightsCovid19,Goa
25,2020-04-07,Goa Airport always in readiness to fight COVID19 and besides handling relief flights gearing up for normal operations in near future. The process of disinfection  thorough cleaning of terminal is an ongoing regular process. WE CARE @AAI_Official @MoCA_GoI @MoHFW_INDIA @aairedwr – at Dabolim Goa International Airport (GOI),Goa
26,2020-04-07,This old fart and his evil coterie is exactly the fake friends India does not need. @POTUS @realDonaldTrump #COVID19 ,Goa
27,2020-04-07,As we celebrate #WorldHealthDay we remember our heroes who are not in capes but with stethoscopes and nurses who work endlessly to fight against #COVID19  putting their lives at risk. We salute you! #WorldHealthDay2020,Goa
28,2020-04-07,On this world health day  while praying for our loved ones good health let us also remember all the doctors  nurses  paramedic staff  police  sanitizing workers  army and all the other staffs who are working selflessly and are leading the battle of #covid19. #WorldHealthDay,Goa
29,2020-04-07,I recommend Aarogya Setu app to fight against COVID19. Please download and share it using this link Android : https://play.google.com/store/apps/details?id=nic.goi.aarogyasetu iOS : https://apps.apple.com/in/app/aarogyasetu/id1505825357 #AarogyaSetuApp #IndiaFightsCorona,Goa
30,2020-04-07,14-month-old toddler dies of coronavirus in Gujarat's Jamnagar | Speechless ...Ohm Shanti @narendramodi #ChineseVirus19 #ChinaLiesPeopleDie #ChineseVirus #Coronavirus #Jamnagar #Gujarat,Gujarat
31,2020-04-07,#Coronavirus updates: • Japan to announce state of emergency &amp; $990bn stimulus package • World leaders send support to UK PM Boris Johnson after being moved to intensive care • China reports no news deaths for first time https://aje.io/lv6xy,Gujarat
32,2020-04-07,#Coronavirus patient belongs to #TablighiJamat uses his clothes as rope to escape from UP hospital https://www.ndtv.com/india-news/coronavirus-uttar-pradesh-covid-19-patient-uses-his-clothes-as-rope-to-escape-from-up-baghpat-hospit-2207430 #CoronavirusPandemic #coronavirusindia,Gujarat
33,2020-04-07,World Health Day #worldhealthday #health #healthday #respectmedicalteam #stayhealthy #stayhome #stayathome #corona #indialockdown #indiafightagainstcorona #covid-19 #covid19 #nocorona #fightagainstcorona… https://www.instagram.com/p/B-q9MJ6lr9z/?igshid=195l47x88fr2p,Gujarat
34,2020-04-07,#IndiaFightsCorona: #COVID19 India UPDATE: Total Confirmed Cases - 4421 Active Cases - 3981 Cured/Discharged- 325 Deaths - 114 Migrated - 1 as on April 7  2020 till 9:00 AM #StayAtHome #Hydroxychloroquine,Gujarat
35,2020-04-07,#IndiaFightsCorona: #COVID19 India UPDATE: Total Confirmed Cases - 4421 Active Cases - 3981 Cured/Discharged- 325 Deaths - 114 Migrated - 1 as on April 7  2020 till 9:00 AM #StayAtHome #Hydroxychloroquine,Gujarat
