,Tweet Posted Time (UTC),Tweet Content,Tweet Location
0,2020-04-05,I am proud of everyone who has faithfully been abiding by the lockdown! My love to you all. With the same spirit  let's light up lamps and come together to spread awareness for 9 minutes at 9 pm this Sunday. Don’t forget! @narendramodi #LightForIndia #IndiaFightsCorona – at Dornala,Andhra Pradesh
1,2020-04-05,for people who fight againsts coronavirus 9bje 9min Love light and hope for healthy and corona free tomorrow @narendramodi @JagranNews,Bihar
2,2020-04-05,Sir it's a humble request after diminished/destroyed of corona virus please focusing on re-establishment of kashmiri pandits' in Kashmir. You(@narendramodi )are our(Indian's) hope sir. It's a humble request sir. @Ashukum32965464 @narendramodi,Bihar
3,2020-04-05,"Showing Unity during Corona epidemic by lighting the lamps at home also showing the social distancing for prevention from Corona Virus. ""है कौन विघ्न ऐसा जग में  टिक सके आदमी के मग में। @narendramodi #IndiaFightsCorona #9pm9minutes #LadengeAurJeetenge",Bihar
4,2020-04-05,Your small contribution can help the country fight against the corona virus during this era of pandemic... #coronaharega #westandtogether ,Bihar
5,2020-04-05,Me and our family  village of madhubani district of northern bihar near indo-nepal border support India against corona virus with you,Bihar
6,2020-04-05,Support to our PM Sri Narendra Modi & also corona fitters. Show Unity against Corona Virus. ,Bihar
7,2020-04-05,We are with Our PM we Are Born as Fighter we won't lose from Corona virus @PMOIndia @narendramodi @PuspeshDubey2 @Abhishek_BAS,Bihar
8,2020-04-05,Coronavirus ends begins in this 9 minutes @anjanaomkashyap @narendramodi @aajtak @RailMinIndia,Bihar
9,2020-04-05,Juss a little Donation For @narendramodi ji for #PMCARES to Fight Corona Virus ,Bihar
10,2020-04-05,If you are a supporter of this regime  please ask the government to: 1) Immediately provide protective gear to healthcare workers. 2) Test more people. Without these two  India's fight against Coronavirus can't be fought. Andhbhakti will be harmful for India. #TestKaroNa,Bihar
11,2020-04-05,. @WHO says Test  Trace and Treat to fight Corona Virus. @narendramodi says Thali Bajao  Batti Bujhao to fight the virus. We stand for science  not superstition. We stand for life  not prejudice. We will not switch off lights. #RationDiyaKya #TestKaroNa,Bihar
12,2020-04-05,This is an initiative that can help the help the poor during any crisis  not just coronavirus outbreak. Well done I-PAC! #SabkiRasoi,Bihar
13,2020-04-05,Why is India testing the lowest? How will this strategy of testing slow help India fight Corona virus? #TestKaroNa,Bihar
14,2020-04-05,Indians are fighting against coronavirus and BJP IT cell is fighting against Indians Amit Shah had once said BJP workers have the power to make anything go viral  even fake news. The IT cell is proving just that during a global pandemic. ,Bihar
15,2020-04-05,We must be do it because We live together   We fight against Corona Virus with unity – at Samastipur,Bihar
16,2020-04-05,Dear Paul   sorry to hear about your better half being diagnosed with #Covid19. I read her description  very informative no temp just mild cough. Among the symptoms saying Fever in 98%. But atypical presentation not uncommon. Very glad she is well. Thanks God. Best of luck.,Bihar
17,2020-04-05,Some of us lights up Diyas  Candles  Flashlights etc. and some burns crackers too Conclusion:- In this critical #Quarantine time at least we all got a small reason to stay Happy #CreateLoveNotHate &amp; We all unitedly Stand against #COVID19 #stayHome #staySafe #keepSocialDistancing,Bihar
18,2020-04-05,Germany is doing 350 000 tests per week. Among other reasons  it's also one why its death rate is as low as 1.4 percent  while Italy  Spain  France  Britain all have more than 10% India needs to test more  only way to get over this nightmare soon. #TestKaroNa #COVID19,Bihar
19,2020-04-05,2 tasks done. Okay  can we now expect the number of people being tested for #COVID19 to increase? #TestKaroNa,Bihar
20,2020-04-05,Little angle ready to fight COVID19. Ek Diya desh KE naam.. today 9 p.m to 9 min. #FightAgainstCOVID19 #NarendraModi #ABPnews #IndiaVsCorona,Bihar
21,2020-04-05,@narendramodi for Our country #COVID19 ,Bihar
22,2020-04-05,60% of all COVID19 positive cases are linked to Tablighi Jamat. But isn't this because they have been tested  whereas the overall testing is very little. Test more  and you will realise the real picture is very different. #TestKaroNa,Bihar
23,2020-04-05,The PM thinks of the people as sheep  who can be herded in any direction. The docs are facing a shortage of safety gear. The country has one of the lowest number of testing for #COVID19. And he wants us one day to clap &amp; another day to light candles. Wake up  India. #TestKaroNa,Bihar
24,2020-04-05,With the kind of density of population in India  specially in pockets where poor reside  there is an urgent need for mass testing. The Dharavi casualty due to #COVID19 should be an eye opener. #TestKaroNa,Bihar
25,2020-04-05,Appeal to the media: Please stop acting as Modi's personal PR machine. Ask the right questions. Such as: 1) Why is there lack for protective gear for our healthcare workers? 2) Why are there so few #COVID19 tests? It is a test of your love for India. #TestKaroNa,Bihar
26,2020-04-05,Central Govt must consider number of Covid19 cases &amp; hotspots to decide allocation of State Disaster Risk Management Fund to states Under the current scheme states like Delhi  Kerala &amp; Punjab have a large number of positive cases but are receiving very little funds from SDRMF,Bihar
27,2020-04-05,Most of our media is not interested in raising substantive questions regarding our response to COVID19. They are interested in praising their supreme leader or communalizing the pandemic. It is left to citizens to ask why is their lack of gear for docs &amp; so few tests? #TestKaroNa,Bihar
28,2020-04-05,Rather than acting as Modi's personal PR firm for his antics  is it not the responsibility of our TV news channels to ask the govt why are there so few tests for #COVID19? #TestKaroNa,Bihar
29,2020-04-05,Maharashtra and Kerala have recorded the most number of people tested positive for #COVID19. Is it a coincidence that these are also the states which have had the highest number of tests? We will never know the real picture unless we test enough people. #TestKaroNa,Bihar
