,Tweet Posted Time (UTC),Tweet Content,Tweet Location
0,2020-04-13,JUST IN: China reports 108 new cases of coronavirus,Bihar
1,2020-04-13,After a number of restrictions to contain the spread of the novel coronavirus comes a 'novel' restriction from the Chinese authorities _no publication of the research study about the origin of novel Coronavirus to be allowed. ,Bihar
2,2020-04-13,#COVID19 Pandemic Protect yourself and be supportive to others. Check-in by phone on neighbors or people in your community who may need extra assistance. Working together as one community can help create solidarity in addressing COVID-19. ,Bihar
3,2020-04-13,@kavita_krishnan shame on u. Why don't u people just stop fake news.even during this COVID19 u guys just spreading your propaganda . #ShameOnKavitaKrishnan,Bihar
4,2020-04-13,Arresting the great grand son-in-law of Dr. B.R. Ambedkar on the birth anniversary of Dr. B.R. Ambedkar tell you a lot about where we are headed as a society. We are sick not just from #COVID19 but from casteism  communalism and authoritarianism! #DoNotArrestAnand,Bihar
5,2020-04-13,GOI India invests huge amount on promotional activities... But unfortunately few of leaders /ministers are actually active in awaring people on prevention and control of COVID19.. We don't know what is source of fund for IT cells operations ?? All rules for middle-class..,Bihar
6,2020-04-13,33 new cases of #COVID19 in Thailand today  bringing the total to 2 551. Almost 50% have recovered. 1 040 000 Village Health Volunteers conduct home visits  provide health education  medicines  and make reports. Good morning,Bihar
7,2020-04-13,Bharat recommend Aarogya Setu app to fight against COVID19. Please download and share it using this link Android : #HmSafeToIndiaSafe #AarogyaSetuApp #Covid_19 @narendramodi @BiharHealthDept https://play.google.com/store/apps/details?id=nic.goi.aarogyasetu iOS : https://apps.apple.com/in/app/aarogyasetu/id1505825357,Bihar
8,2020-04-13,#IndiaFightsCorona NCC pitches in India’s fight against COVID-19 ,Bihar
9,2020-04-13,#IndiaFightsCorona Aquaculture exempt from lockdown ,Bihar
10,2020-04-13,Download Aarogya Setu Aap today to win war against Corona Android: http://play.google.com/store/apps/det… IOS: http://apps.apple.com/in/app/aarogya… #IndiaFightsCorona #IndianRailways #Chhattisgarh #India @GMSECR @secrail @drm_raipur @DRMBilaspur,Chhattisgarh
11,2020-04-13,Here it goes  the #coronavirus stigma ,Goa
12,2020-04-13,For #Margao MLA  @digambarkamat  whether #CoronaVirus  #Sonsoddo  Fisherfolks messing the streets of Aquem or any other health hazard for Madgaonkar  will not make an iota of difference for him  as he leaves everything at the mercy of the God! @goacm,Goa
13,2020-04-13,Goa Tourism Strongly Refutes Reports Appearing in Certain #media @DrPramodPSawant @tourismgoi @incredibleindia @pspoffice @satija_amit @TAAI1951 @nikhiludesaigoa @IATA @ADTOIconnect @traveltourismAG @PTI_News @FollowCII @CNBCTV18Live @ShereenBhan @COVIDNewsByMIB #COVID19 ,Goa
14,2020-04-13,"Rio de Janeiro's famous Christ the Reedemer statue lit up with photos of health workers fighting #COVID19 on Easter: ""Obrigado"" ",Goa
