,Tweet Posted Time (UTC),Tweet Content,Tweet Location
0,2020-04-02,Love and gratitude for arnab goswami... he said awaz kam wow #TablighiJamaat #COVID19 #coronavirus #coronavirusindia,Bihar
1,2020-04-02,Adversity also gives an opportunity to explore new ways to move forward. Coronavirus has kept everyone on their toes globally. Online meetings not only keep you connected but also informed of global scenario &amp; collective resolve to fight against #COVID19Pandemic @iandcouper,Bihar
2,2020-04-02,Coronavirus outbreak in India: From 1 to 1 000 cases: 8 weeks From 1 000 to 2 000 cases: 4 days,Bihar
3,2020-04-02,I do not understand that is all muslim's people like as jihadi or Tablege jamat person are trying to corona Virus exterminate or he is trying to make brothers of this http://virus.so plz all Muslim's people  I requested to yours that is please stay_home stay_safe ,Bihar
4,2020-04-02,Happy #RamNavami to all May this Lord Rama will bring blessings and happiness. I wish your all dreams come true &amp; we will be free from Coronavirus soon. जय श्री राम! #HappyRamNavami,Bihar
5,2020-04-02,Offer prayers to lord Rama at Home! and beg them that the corona be ovre soon. Stay at home stay safe. Do no get out of the house!! #coronavirus @NitishKumar @narendramodi @akshaykumar @sachin_rt @RahulBose1 @SrBachchan @SanjayJhaBihar @shahidkapoor @neerajkumarmlc @RugbyIndia,Bihar
6,2020-04-02,I just did my part in the war against coronavirus. Join me  in supporting those who need a helping hand at this critical hour. #IndiaFightsCorona,Bihar
7,2020-04-02,@PMOIndia Coronavirus giving a golden oppertunity to india to revolve itself in MEDICAL REVOLUTION . To select more and more students through neet because this time doctor is also working an indian soldiers against corona bio weapons.,Bihar
8,2020-04-02,Love and gratitude for arnab goswami... he said awaz kam wow #TablighiJamaat #COVID19 #coronavirus #coronavirusindia,Bihar
9,2020-04-02,I recommend Aarogya Setu app to fight against COVID19. Please download and share it using this link Android : https://play.google.com/store/apps/details?id=nic.goi.aarogyasetu iOS : itms-apps://itunes.apple.com/app/id1505825357,Bihar
10,2020-04-02,#WeCare for all such people in need of help during the times of #COVID19. We must not must not let those in need go hungry for the want of individual or collective efforts. #SabkiRasoi,Bihar
11,2020-04-02,Are you talking about the Covid19 or covid10 ?,Bihar
12,2020-04-02,AYC Trivandrum committee conducted medical camp and #COVID19 awareness programs for migrant workers near Trivandrum domestic airport  South zone Kerala. Reach out to us using #SOSIYC for any help during the COVID 19 lockdown. @KerlanJobe,Bihar
13,2020-04-02,I liked it! That too  feeling honoured our NSA shook hand with that Maulana Saad (may be a Covid19 positive) disrespecting Covid19 precautionary measures &amp; social distancing. NSA himself may be a possible threat to the Nation! क्या कहें जितना बड़ा Officer  उतना ही Careless.,Bihar
14,2020-04-02,#Stay Home #Stay safe #COVID19,Bihar
15,2020-04-02,In this Frame NSA is shaking hand with Maulana Saad and without maintaining social distancing. Gross violation of Govt Order in vogue. He should also be kept in Quarantine because Maulana Saad might be infected with Covid19.,Bihar
16,2020-04-02,I just did my part in the war against coronavirus. Join me  in supporting those who need a helping hand at this critical hour. #IndiaFightsCorona ,Bihar
17,2020-04-02,Don’t loose #hope we #Covid19 is not invincible. @biharmatters @_PatnaBeats @sidbshrestha,Chhattisgarh
18,2020-04-02,#arrestthem or #shootatsight - noone can atleast right now misbehave with doctors !!!! #corona #coronavirus #covid19 #COVID19Pandemic #21daysLockdownIndia,Chhattisgarh
