,Tweet Posted Time (UTC),Tweet Content,Tweet Location
0,2020-04-09,We need help sir  The govt of andhra pradesh not gold take action against covid19.we want help from central govt  i hope reply from you. Thanks you sir  – at Donakonda,Andhra Pradesh
1,2020-04-09,यानी COVID 19 ( Corona Virus disease 2019) or Serious actute respiratory syndrome 2 For information please.. Regards,Bihar
2,2020-04-09,Salute to our pandemic soldiers who lost their life in treating covid19 patients. Aabad rahe wo ghar aur maa jisne aise heros ko janam diye RIP @ArvindKejriwal @prasadvedpathak @NitishKumar @amarjeet_bittu @WHO #DilSeThankYou #dilsethanku #RIPLegend,Bihar
3,2020-04-09,I recommend Aarogya Setu app to fight against COVID19. Please download and share it using this link Android : https://play.google.com/store/apps/details?id=nic.goi.aarogyasetu iOS :,Bihar
4,2020-04-09,No one can Retaliate  browbeat  pressurize or intimidate India .In fight against#Covid19. #Muskurayega India #Stay home Stay Safe #lndia will fight India will win ,Bihar
5,2020-04-09,@BillGates Thank you so much Sir... For helping our #Bihar in this pandemic situation. We pray for your good health  wealth and long live. #COVIDー19 #IndiaFightsCorona @IPRD_Bihar @mangalpandeybjp @sanjayjavin @Radhamohanji #BillGates #PMModi,Bihar
6,2020-04-09,Of course we proud to be an indian and thank full to God that we get a prime minister like @narendramodi . Jai hind #IndiaFightsCorona #ModiLeadingTheWorld #ThankYouCoronaWarriors #StayHomeStaySafe #FeedTheNeedy,Bihar
7,2020-04-09,How #COVID19 Has Impacted Media Consumption  by Generation. Interesting article  highly recommended for reading. https://www.visualcapitalist.com/media-consumption-covid-19/ @sidbshrestha @jobzachariah @kumarmanish9 @chandanrai87,Chhattisgarh
8,2020-04-09,With #Lockdown State GOVT is doing all possible measures to make humans life go smoothly.Sincere appreciation for keeping us safe in the wake of #COVID19 Honourable CM Shri @bhupeshbaghel I would urge you to take measures to help feed stray animals which are struggling to survive,Chhattisgarh
9,2020-04-09,Stay home  stay safe. #Covid19 #chhattisgarh #Lockdown #cgbdf #TogetherWeCan #Releif #SatyHome #StaySafe,Chhattisgarh
10,2020-04-09,It’s time we all do our bit to help defeat #COVID19. I’m pledging My Support towards @ApnalayaTweets I hope my contribution in some way  Helps fighting Against #Covid19 Please do your bit too. #JaiHind #Apnalya @sachin_rt #IndiaFightsCorona,Chhattisgarh
11,2020-04-09,And we lost a Hero today...Doctor On supreme duty to treat #COVID19 lost his Life after he got infected by Corona Virus BIG QUESTION - Why Doctors are not getting Enough Safety Kits?Where is Lacking? @CMMadhyaPradesh @ChhattisgarhCMO @narendramodi @TS_SinghDeo @drharshvardhan,Chhattisgarh
12,2020-04-09,On a deeper perspective  I belong to Chhattisgarh  a tribal dominated  land-locked state of India. After an initial jump in imported #COVID19 cases (10 in last half of March)  the state remains relatively unaffected  contrary to the national trend. This should be analyzed. ,Chhattisgarh
13,2020-04-09,@WHO @JohnsHopkinsSPH @ICMRDELHI The #COVID19 cases appear to be more concentrated along the coastal belts. Is it just due to presence of busy travel hubs here or does climate  specifically humidity  have a role in the spread? ,Chhattisgarh
14,2020-04-09,The fact remains inspite of all your defence that Covid19 flared due to this congregation and stupid behaviour of many of its attendee. So your defending them repeatedly reveals you connection and agenda.,Chhattisgarh
15,2020-04-09,#MustListan_Satsang #Why_Need_TrueWorship The holy Vedas certify that (true scriptural devotion) true worship eliminates sins and begins happiness. #BhaktsIn3Words #COVID19 ,Chhattisgarh
16,2020-04-09,It’s time we all do our bit to help defeat #COVID19. I’m pledging My Support towards @ApnalayaTweets I hope my contribution in some way  Helps fighting Against #Covid19 Please do your bit too. #JaiHind #Apnalya @sachin_rt #IndiaFightsCorona ,Chhattisgarh
17,2020-04-09,Why didn't Saad come out and co-operate with the India's fight against Corona? It would have been a good work. Not doing this is a criminality. It should be widely publicised. ,Chhattisgarh
18,2020-04-09,Victor Hospital has provided the option of Video Consultation with your Doctors with few easy and quick steps. Please contact us on 9011025897 or 0832 6728888 to book an appointment. #staysafe #stayhome #covid19 #coronavirus #quarantine #homequarantine #socialdistancing,Goa
19,2020-04-09,You don't know about Russian ! Do you know the corona virus causes humans in Russia ! Just it's was 1 % Even they are 1% From Swain blue virus  Spanish blue virus  chicken guinna virus  rabish virus  All that is just 1 This is called வல்லரசு ரஷ்யா Go History of Soviet,Goa
20,2020-04-09,A must read !!! #shadesofsaffron #saffron #SanghiTwitter #StayHomeStaySafe #ThursdayThoughts #coronavirus #lockdownextension #atalbiharivajpayee #rememberinglegends,Goa
21,2020-04-09,Pollution so low  I can see the Corona Virus ,Goa
22,2020-04-09,Victor Hospital has provided the option of Video Consultation with your Doctors with few easy and quick steps. Please contact us on 9011025897 or 0832 6728888 to book an appointment. #staysafe #stayhome #covid19 #coronavirus #quarantine #homequarantine #socialdistancing,Goa
23,2020-04-09,Major lapses happened (1) Shaheen Bagh (2) Trump's visit (3) Delhi elections (4) Goa Carnival (5) Goa Lokutsav (6) Nizamuddin Markaz 1st Covid19 patient was registered on 30th Jan2020.. Sd've tightened the noose sou motto I will be criticised for saying all of the above,Goa
24,2020-04-09,#COVID19 can’t move sideways ,Goa
25,2020-04-09,Let’s download the #AarogyaSetuApp and be effective in our fight against COVID-19. #IndiaFightsCorona #ArogyaSetu,Goa
26,2020-04-09,https://youtu.be/NqgTelVmJI4 Captain Rustom Barucha  Pune based 84 year old has made the simplest light weight portable ventilator. @narendramodi @MoHFW_INDIA @AmitShah #IndianPSUsFightsCorona #ModiLeadingTheWorld #TotalLockdown #IndiaFightsCorona @UnSubtleDesi @meenakshisharan,Goa
27,2020-04-09,Dance like no one's watching #stayhome #stayfit #nomeanthings #morningroutines #indoorfitness #covi̇d19 #tales @Prernatirth Derasar https://www.instagram.com/p/B-v9MNvllHP/?igshid=1egmfb1sf5h6,Gujarat
28,2020-04-09,Coronavirus LIVE: Boris Johnson leaves ICU as UK reports 881 new deaths | Business Standard News https://www.business-standard.com/ News from TV channels and newspapers in one place. Download Print News https://play.google.com/store/apps/details?id=in.vasudev.englishnews,Jharkhand
29,2020-04-09,Bokaro (Jharkhand) : A 72 - year - old man died of #Coronavirus in Bokaro district  the 1st COVID-19 fatality reported in Jharkhand  a health official said on Thursday. The patient died on Wednesday night  Bokaro District Chief Medical Officer Ashok Kumar Pathak said. ,Jharkhand
30,2020-04-09,Coronavirus lockdown | Govt. helpline receives 92 000 calls on child abuse and violence in 11 days – at Ramgarh,Jharkhand
31,2020-04-09,CORONA VIRUS GO BACK – at Ramgarh cantt,Jharkhand
32,2020-04-09,STABILITY OF NOVEL CORONA VIRUS ,Jharkhand
33,2020-04-09,and the state government is not able to stop the arrival of the migrants and arrange their food water.All the state governments are planning a meeting of how to control covid19  the same Jharkhand is still silent @News18Jharkhand @MoHFW_INDIA @jharkhandhealthministry,Jharkhand
34,2020-04-09,Lockdown India fight corona ,Jharkhand
35,2020-04-09,Spend your time indoors wisely  and indulge in meditation to relax and keep stress at bay! Stay safe  and stay cautious! _ #KarnatakaTourism #KarnatakaDiaries #TravelKarnataka #Travel #traveldiaries #travelgram #explorekarnataka #myindooritinerary #yoga #covid19 #besafe,Karnataka
36,2020-04-09,#MakeYourOwnMask #COVID19 Women working from home Day and night to prepare masks for people. A salute. ,Karnataka
37,2020-04-09,We #OPPO salutes the bravery of all the front-line professionals. In solidarity with everyone fighting the battle against #Covid19  we are donating 60 000 masks to help prevent its spread. Let's do our bit and win together! @oppomobileindia,Manipur
38,2020-04-09,I haven't been going to my office for a month and my wallet is almost empty. I wonder how hard the situation is for responsible fathers and husbands out there because of this Coronavirus situation. Allah Taala sab pe apna reham frmain aur is waba se ham sabko bachain. Ameen,Punjab
39,2020-04-09,Western Countries: Busy fighting with the Corona Virus. Result: Terrorism stopped worldwide. #Corona #COVID2019,Punjab
40,2020-04-09,Expensive alcohol-free hand sanitizer won't prevent the coronavirus - Business Insider ,Punjab
